epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_sec
1,1.7762500407324897,0.33768888888888887,1.72778955078125,0.3806,9.997532801828658e-05,11.605600833892822
2,1.456254023996989,0.46486666666666665,1.4174888397216796,0.487,9.990133642141359e-05,16.875079870224
3,1.2950758608924018,0.5294666666666666,1.2482138916015626,0.5624,9.977809823015401e-05,22.109294414520264
4,1.181969554731581,0.5747333333333333,1.1069508544921876,0.6082,9.960573506572391e-05,27.323697566986084
5,1.0863346570968628,0.6096222222222222,1.0657218170166016,0.6228,9.93844170297569e-05,32.47686147689819
6,1.0188438871595595,0.6361333333333333,0.9925072235107422,0.6518,9.911436253643445e-05,37.82190918922424
7,0.9583809051513672,0.6610222222222222,0.9029971084594727,0.6772,9.879583809693738e-05,43.102492809295654
8,0.911954382970598,0.6768888888888889,0.8606261322021485,0.6902,9.842915805643157e-05,48.33761143684387
9,0.8668841933780246,0.6909555555555555,0.8338423645019531,0.6986,9.801468428384717e-05,53.69113206863403
10,0.8285207665867276,0.7080444444444445,0.8024419815063476,0.7182,9.75528258147577e-05,58.88884973526001
11,0.7996834892696805,0.7183333333333334,0.782716909790039,0.7252,9.70440384477113e-05,64.14585518836975
12,0.765136621814304,0.7323555555555555,0.7421512908935547,0.738,9.64888242944126e-05,69.4014720916748
13,0.7324364509264628,0.741,0.703191845703125,0.7548,9.588773128419907e-05,74.66889500617981
14,0.7023001136144003,0.7546888888888889,0.6996818054199219,0.7574,9.5241352623301e-05,80.0088620185852
15,0.6762726271311442,0.7644666666666666,0.7078230171203613,0.7542,9.455032620941843e-05,85.24957418441772
16,0.6552488954755995,0.7707111111111111,0.657729508972168,0.7726,9.381533400219321e-05,90.44697523117065
17,0.6358498011536068,0.7770888888888889,0.615872999382019,0.779,9.303710135019722e-05,95.64244675636292
18,0.6142553945329454,0.785,0.6333380912780762,0.783,9.22163962751008e-05,100.93835544586182
19,0.5960547653834025,0.7905777777777778,0.5805965204238892,0.7956,9.135402871372814e-05,106.17961025238037
20,0.5832944700029161,0.7975555555555556,0.567803339099884,0.8022,9.045084971874742e-05,111.42651557922363
21,0.5636461370362176,0.8042444444444444,0.579856397819519,0.7974,8.950775061878456e-05,116.77023124694824
