class,n,kl_mean,kl_std,jsd_mean,jsd_std,cosine_mean,cosine_std,soft_cross_entropy_mean,soft_cross_entropy_std,brier_mean,brier_std,total_variation_mean,total_variation_std,majority_top1_acc,soft_ece,soft_mce,entropy_pearson,entropy_spearman,entropy_mae,entropy_rmse,entropy_bias,p_at_100,p_at_200,p_at_500,entropy_pearson_ci_low,entropy_pearson_ci_high,entropy_spearman_ci_low,entropy_spearman_ci_high,entropy_mae_ci_low,entropy_mae_ci_high,entropy_rmse_ci_low,entropy_rmse_ci_high,p_at_100_ci_low,p_at_100_ci_high,p_at_200_ci_low,p_at_200_ci_high,p_at_500_ci_low,p_at_500_ci_high,kl_mean_ci_low,kl_mean_ci_high,jsd_mean_ci_low,jsd_mean_ci_high,cosine_mean_ci_low,cosine_mean_ci_high,total_variation_mean_ci_low,total_variation_mean_ci_high
airplane,200,0.3880554139614105,0.6372185349464417,0.09064283221960068,0.126950204372406,0.8892415761947632,0.22498436272144318,0.5381500720977783,0.7273775339126587,0.18151244521141052,0.35158979892730713,0.21262967586517334,0.25028735399246216,0.8600000143051147,0.056805647909641266,0.3044385313987732,0.22114445269107819,0.20608182795910773,0.530822217464447,0.7312172651290894,0.4418843984603882,0.56,1.0,1.0,0.09326742863542582,0.3348209124844209,0.06355973350528736,0.3180016548401893,0.4556704662740231,0.5957742482423782,0.6397653207182884,0.814497621357441,0.49,0.64,1.0,1.0,1.0,1.0,0.3039773091673851,0.47444337531924247,0.07300678044557571,0.10757963061332702,0.8586751952767372,0.9197093427181244,0.1757416319102049,0.2456383530050516
automobile,181,0.20434759557247162,0.4829782545566559,0.04198269173502922,0.09803251177072525,0.9534353017807007,0.15794230997562408,0.3014204502105713,0.5430919528007507,0.0795101672410965,0.25718504190444946,0.09890066087245941,0.1899075210094452,0.9337016344070435,0.0368342250585556,0.39464235305786133,0.1606559455394745,0.21283559741146887,0.28601735830307007,0.48324859142303467,0.14277935028076172,0.64,1.0,1.0,0.0009019760669571365,0.32989557974585376,0.06590469935438668,0.3400273552037228,0.23010339513421058,0.3391693703830242,0.3907841995358467,0.558765885233879,0.55,0.69,1.0,1.0,1.0,1.0,0.13551119938492776,0.28357855081558225,0.027846381533890963,0.057721112668514235,0.9276589661836624,0.975790785253048,0.07069304548203945,0.1285761758685112
bird,200,0.6215015053749084,1.038455843925476,0.13334093987941742,0.1839417666196823,0.8220280408859253,0.305940717458725,0.8034874200820923,1.0930606126785278,0.28147032856941223,0.4736175835132599,0.2750176191329956,0.317285418510437,0.7850000262260437,0.06457272171974182,0.1524646282196045,0.19667673110961914,0.26604059325138363,0.6353272795677185,0.9030072689056396,0.5315957069396973,0.57,1.0,1.0,0.09687588094210989,0.31851737103715977,0.14414767491201388,0.3846323170719136,0.5494937568902969,0.7269274726510048,0.8059937551617622,0.9968542411923406,0.52,0.67,1.0,1.0,1.0,1.0,0.49920614361763,0.7625918135046958,0.1118598511442542,0.15807945467531678,0.7830774769186973,0.8581863075494767,0.23562132827937604,0.3192293725907802
cat,190,0.6660027503967285,0.9540122151374817,0.14931286871433258,0.1707734316587448,0.784492552280426,0.3065238296985626,0.9088201522827148,1.0392709970474243,0.32413843274116516,0.4640176296234131,0.3303717076778412,0.2993445098400116,0.7157894968986511,0.10151946544647217,0.3013949394226074,0.33364903926849365,0.3615035044585822,0.6768132448196411,0.8619044423103333,0.5801978707313538,0.64,1.0,1.0,0.19967885835753757,0.46366045968010006,0.23998741472969734,0.49150527509540265,0.6033629164099693,0.7609847977757453,0.7747915759682655,0.958256934583187,0.56475,0.7052499999999997,1.0,1.0,1.0,1.0,0.540921650826931,0.8125427082180977,0.12553826421499253,0.17443857938051222,0.7415974155068398,0.8245158225297928,0.28781708180904386,0.36977313607931134
deer,178,0.5984038710594177,1.0192549228668213,0.12432102859020233,0.15298354625701904,0.8420572280883789,0.266421377658844,0.8798536658287048,1.0822570323944092,0.23828642070293427,0.39749690890312195,0.27955353260040283,0.2759208679199219,0.7977527976036072,0.08473788946866989,0.2254909873008728,0.29277849197387695,0.31007570324660677,0.6537353992462158,0.8675849437713623,0.5005725026130676,0.64,1.0,1.0,0.15046263389926345,0.42511051633147506,0.1671697826845032,0.44265162630879,0.572500504553318,0.7386611729860305,0.7780397295951843,0.959977488219738,0.58,0.71,1.0,1.0,1.0,1.0,0.45491368547081945,0.765952868759632,0.10272015128284692,0.1492236543446779,0.8020908743143081,0.8831595987081527,0.24028380140662192,0.3232356287539005
dog,223,0.6101985573768616,0.8942365050315857,0.13774554431438446,0.17007200419902802,0.8042526841163635,0.2953566610813141,0.7774856686592102,0.9721200466156006,0.2926861345767975,0.4192698299884796,0.3030814230442047,0.3070986568927765,0.726457417011261,0.0798124149441719,0.29432886838912964,0.178221195936203,0.28420508692900887,0.7002167701721191,0.9631196856498718,0.6149457693099976,0.6,0.9,1.0,0.09214942295560052,0.2725697876229623,0.171480744447569,0.3982965533175686,0.6234387159347534,0.7881421625614166,0.870315408706665,1.0612078040838242,0.52,0.67,0.89,0.915,1.0,1.0,0.5050077229738236,0.7402781829237938,0.11789421662688256,0.16138225458562375,0.7613005369901658,0.8393454238772392,0.2655403807759285,0.34574913755059244
frog,212,0.31785130500793457,0.6253172755241394,0.06996769458055496,0.13138724863529205,0.9190714955329895,0.21333232522010803,0.46475762128829956,0.692266583442688,0.12942731380462646,0.3202117383480072,0.15851762890815735,0.2413909137248993,0.900943398475647,0.043456725776195526,0.45188000798225403,0.19962060451507568,0.26793910731955356,0.4606844484806061,0.6906165480613708,0.2871911823749542,0.54,0.95,1.0,0.07141046721086686,0.3300122572375763,0.14340163469100561,0.4008303889368559,0.39506361335515977,0.5228394836187362,0.6005092114210129,0.769657689332962,0.49,0.64,0.94,0.955,1.0,1.0,0.24350441358983516,0.3996298857033252,0.05384999234229326,0.08747397977858781,0.8911230698227882,0.9464009925723076,0.12833487018942832,0.18902098275721071
horse,206,0.35941097140312195,0.7310381531715393,0.08260302990674973,0.14894400537014008,0.9001595377922058,0.24126236140727997,0.44230788946151733,0.7931370139122009,0.14912767708301544,0.3339945673942566,0.17271339893341064,0.2708759605884552,0.8883495330810547,0.05228867009282112,0.3577190935611725,0.3921269476413727,0.3374550012565746,0.5216382145881653,0.8315355777740479,0.4677082598209381,0.6,0.97,1.0,0.2347679359460172,0.527715525492188,0.21536731315175356,0.45716513780009,0.4318392425775528,0.6051263779401779,0.7250196367502213,0.9303232416510582,0.56,0.7,0.97,0.975,1.0,1.0,0.2670560896396637,0.46838180646300315,0.06346407700330019,0.10514029562473295,0.8625964120030403,0.9308723226189614,0.13792249783873559,0.2125879198312759
ship,207,0.18033522367477417,0.5445665717124939,0.030181730166077614,0.08454839140176773,0.9699567556381226,0.13485267758369446,0.2880706489086151,0.650515079498291,0.04629002511501312,0.19525432586669922,0.07135216891765594,0.15607225894927979,0.9710144996643066,0.033078305423259735,0.44545602798461914,0.45073652267456055,0.26523350957721953,0.2220619171857834,0.3922511339187622,0.07283246517181396,0.58,0.965,1.0,0.23032046949006418,0.6298138281661765,0.12628662264233134,0.3861198564190796,0.18524772562086583,0.26723782941699026,0.3116646111011505,0.4736356064677238,0.49475,0.64,0.965,0.97,1.0,1.0,0.11344962250441312,0.2636650554835795,0.01930441507138312,0.043702963180840014,0.9481554567813874,0.9865640103816986,0.05111295711249113,0.09425048660486936
truck,203,0.3461347222328186,0.917378306388855,0.06288846582174301,0.13852524757385254,0.9122559428215027,0.23475314676761627,0.46208345890045166,0.9644489288330078,0.13886265456676483,0.3643498122692108,0.1378990262746811,0.2467995136976242,0.8817734122276306,0.055023759603500366,0.5753483176231384,0.42052558064460754,0.306801722857108,0.3032771348953247,0.4897040128707886,0.1925012767314911,0.64,0.985,1.0,0.2201103067494791,0.578833734380698,0.17431485912603323,0.4230288153148157,0.25398785099387167,0.3563568085432053,0.4074034407734871,0.5718601658940315,0.55,0.69,0.985,0.985,1.0,1.0,0.22792754583060743,0.48896475881338114,0.044745394680649045,0.08309172485023737,0.878590713441372,0.9428741082549095,0.10567047018557787,0.17233440056443214
