cifar10h_index,majority_class,true_top_class,pred_top_class,true_entropy,pred_entropy,entropy_abs_error,failure_hypothesis
924,dog,dog,ship,2.391788257227745e-06,2.666630983352661,2.66662859916687,manual review required
3496,dog,dog,airplane,2.391788257227745e-06,2.622164249420166,2.622161865234375,manual review required
2818,dog,dog,deer,2.391788257227745e-06,2.600705862045288,2.600703477859497,manual review required
1138,dog,dog,cat,0.13710162043571472,2.7301695346832275,2.5930678844451904,manual review required
2395,horse,horse,ship,2.391788257227745e-06,2.5548720359802246,2.5548696517944336,manual review required
3059,dog,dog,cat,0.38254451751708984,2.9240503311157227,2.541505813598633,manual review required
8048,airplane,airplane,bird,2.391788257227745e-06,2.488055944442749,2.488053560256958,manual review required
7931,truck,truck,truck,0.23519554734230042,2.6855921745300293,2.4503965377807617,manual review required
7989,horse,horse,dog,0.1414426565170288,2.5604867935180664,2.419044017791748,manual review required
2955,bird,bird,cat,2.391788257227745e-06,2.4113543033599854,2.4113519191741943,manual review required
3922,bird,bird,deer,2.391788257227745e-06,2.375563621520996,2.375561237335205,manual review required
7186,bird,bird,bird,0.13710163533687592,2.4806621074676514,2.3435604572296143,manual review required
