cifar10h_index,majority_class,top_human_class,second_human_class,top_probability,second_probability,true_entropy,suggested_categories,manual_category,manual_notes
8153,deer,deer,dog,0.3799999952316284,0.20000000298023224,2.4301609992980957,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
5227,deer,deer,horse,0.47058817744255066,0.13725489377975464,2.18994140625,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
4547,cat,cat,bird,0.37254902720451355,0.3529411852359772,1.982708215713501,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
2903,bird,bird,dog,0.5686274766921997,0.1764705926179886,1.8868918418884277,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
8450,truck,truck,ship,0.5799999833106995,0.11999999731779099,1.8194544315338135,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
5158,deer,deer,cat,0.6470588445663452,0.09803921729326248,1.7982218265533447,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
7524,cat,ship,airplane,0.44897958636283875,0.3469387888908386,1.7942211627960205,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
5141,frog,frog,bird,0.557692289352417,0.19230769574642181,1.791556715965271,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
3624,bird,bird,deer,0.5,0.25999999046325684,1.7345927953720093,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
3956,cat,cat,dog,0.5799999833106995,0.1599999964237213,1.7258375883102417,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
313,airplane,airplane,bird,0.4285714626312256,0.267857164144516,1.7136809825897217,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
2066,bird,bird,deer,0.6200000047683716,0.14000000059604645,1.6510987281799316,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
8809,ship,frog,ship,0.46000000834465027,0.3799999952316284,1.6386109590530396,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
5207,ship,ship,automobile,0.6200000047683716,0.18000000715255737,1.6343785524368286,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
8792,frog,deer,frog,0.4897959232330322,0.3877550959587097,1.6248208284378052,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
5578,cat,cat,dog,0.7000000476837158,0.14000001549720764,1.6203287839889526,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
4615,dog,cat,dog,0.529411792755127,0.2549019753932953,1.6132699251174927,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
8872,ship,airplane,ship,0.4716981053352356,0.3962264060974121,1.6083920001983643,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
1993,cat,cat,deer,0.64000004529953,0.14000001549720764,1.580632209777832,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
9989,bird,deer,bird,0.3877550959587097,0.30612245202064514,1.5755822658538818,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
9385,horse,horse,airplane,0.686274528503418,0.13725490868091583,1.5709282159805298,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
7135,deer,deer,horse,0.6153846383094788,0.25,1.5300447940826416,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
59,frog,frog,cat,0.5686274766921997,0.27450981736183167,1.5215604305267334,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
6783,cat,cat,frog,0.6600000262260437,0.1599999964237213,1.507266879081726,ambiguous object identity; poor image quality; multi-object; class boundary; occlusion; background confusion; other,,
